demographics_key,sex,age_group,education_level,annual_income,race_ethnicity
0,Female,80+,Some college or technical school,,White only (non-Hispanic)
1,Female,80+,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
2,Female,75-79,Some college or technical school,,White only (non-Hispanic)
3,Female,75-79,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
4,Female,60-64,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
5,Male,80+,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
6,Female,75-79,Some college or technical school,,Black only (non-Hispanic)
7,Female,80+,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
8,Male,75-79,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
9,Male,55-59,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
10,Female,75-79,High school graduate,,White only (non-Hispanic)
11,Female,65-69,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
12,Male,75-79,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
13,Female,75-79,Some college or technical school,"$100,000 to < $150,000",Black only (non-Hispanic)
14,Female,80+,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
15,Female,60-64,College graduate or higher,,White only (non-Hispanic)
16,Male,80+,College graduate or higher,,White only (non-Hispanic)
17,Female,65-69,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
18,Male,75-79,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
19,Female,80+,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
20,Male,80+,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
21,Male,70-74,Some high school,"Less than $10,000",White only (non-Hispanic)
22,Female,70-74,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
23,Female,80+,College graduate or higher,,White only (non-Hispanic)
24,Male,80+,Some college or technical school,,White only (non-Hispanic)
25,Female,65-69,High school graduate,,Black only (non-Hispanic)
26,Female,70-74,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
27,Male,70-74,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
28,Female,65-69,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
29,Female,55-59,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
30,Female,65-69,High school graduate,,White only (non-Hispanic)
31,Male,75-79,Some college or technical school,,White only (non-Hispanic)
32,Female,80+,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
33,Female,70-74,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
34,Female,80+,High school graduate,"$10,000 to <$15,000",White only (non-Hispanic)
35,Female,75-79,Some high school,,White only (non-Hispanic)
36,Male,80+,College graduate or higher,"$20,000 to <$25,000",White only (non-Hispanic)
37,Male,65-69,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
38,Male,75-79,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
39,Male,70-74,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
40,Male,80+,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
41,Male,70-74,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
42,Female,45-49,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
43,Female,80+,High school graduate,,White only (non-Hispanic)
44,Female,60-64,High school graduate,"$150,000 to < $200,000",White only (non-Hispanic)
45,Female,70-74,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
46,Female,75-79,High school graduate,,Black only (non-Hispanic)
47,Female,35-39,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
48,Female,60-64,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
